scenario,crop,region,bmp,year,PRCP,Q,WYLD,MUSL,ET,YN,QN,YP,QP,TN,TP,YLDG,YLDF,BIOM,RE_Q,RE_WYLD,RE_MUSL,RE_TN,RE_TP
RCP 45,alfalfa,a,base,2021,973.86,25.5748,416.3211,2.2959,627.7904,4.8761,0.1602,0.6856,0.035500000000000004,5.0363,0.7211,0.0,4.11,13.99,,,,,
RCP 45,alfalfa,a,base,2022,1073.1200000000001,16.9972,370.5543,0.658,670.5269,1.3701,0.3757,0.1853,0.0254,1.7458,0.2107,0.0,4.77,18.03,,,,,
RCP 45,alfalfa,a,base,2023,1077.27,30.4919,453.1048,1.838,598.9668,3.8346,0.0208,0.4644,0.0317,3.8554,0.4961,0.0,4.16,16.17,,,,,
RCP 45,alfalfa,a,base,2024,1148.82,55.356,524.7679,1.7292999999999998,627.9937,4.2017999999999995,0.22829999999999998,0.5179,0.0242,4.4300999999999995,0.5421,0.0,5.26,17.53,,,,,
RCP 45,alfalfa,a,base,2025,858.61,12.517000000000003,379.6994,0.1613,528.2466,0.49160000000000004,0.0373,0.0608,0.0091,0.5289,0.0699,0.0,3.17,12.11,,,,,
RCP 45,alfalfa,a,base,2026,1309.1,94.66510000000001,535.5717999999999,8.9933,645.5856,18.706,0.0805,2.4073,0.1031,18.7865,2.5104,0.0,6.96,15.71,,,,,
RCP 45,alfalfa,a,base,2027,900.02,15.915799999999999,480.9582,0.39,569.9249,1.68,0.0085,0.2015,0.0054,1.6885,0.2069,0.0,3.75,15.44,,,,,
RCP 45,alfalfa,a,base,2028,1100.98,33.0859,486.9778,1.0526,654.1455,2.9452,0.07919999999999999,0.3494,0.0381,3.0244,0.3875,0.0,4.55,16.04,,,,,
RCP 45,alfalfa,a,base,2029,976.91,26.353199999999998,422.4778,1.4304999999999999,575.9631,3.5488,0.0625,0.43069999999999997,0.0239,3.6113,0.45459999999999995,0.0,4.34,14.24,,,,,
RCP 45,alfalfa,a,base,2030,1274.28,144.4528,605.0236,6.0561,670.6653,14.4528,0.3515,1.7652,0.127,14.8043,1.8922,0.0,5.07,18.19,,,,,
RCP 45,alfalfa,a,base,2031,982.99,28.8955,418.5275,3.2917,637.5724,7.5943000000000005,0.17859999999999998,0.9397,0.0326,7.772900000000001,0.9722999999999999,0.0,4.04,13.74,,,,,
RCP 45,alfalfa,a,base,2032,1089.91,18.2367,371.4491,0.2894,688.2928,0.7428,0.0709,0.09169999999999999,0.0233,0.8137,0.11499999999999999,0.0,4.74,18.24,,,,,
RCP 45,alfalfa,a,base,2033,1081.49,41.0032,466.153,1.9645,602.9047,4.7154,0.0164,0.5133,0.0335,4.7318,0.5468,0.0,4.21,16.51,,,,,
RCP 45,alfalfa,a,base,2034,1158.29,54.157799999999995,526.198,1.4014,629.8085,4.1129,0.1845,0.4576,0.0203,4.2974,0.4779,0.0,5.11,17.18,,,,,
RCP 45,alfalfa,a,base,2035,861.67,12.8633,384.1491,0.8086,527.915,2.3202,0.0382,0.2683,0.0174,2.3583999999999996,0.28569999999999995,0.0,3.68,11.96,,,,,
RCP 45,alfalfa,a,base,2036,1325.04,72.8266,520.9002,7.0394000000000005,650.0454,17.843,0.151,2.0423,0.0543,17.994,2.0966,0.0,6.77,15.48,,,,,
RCP 45,alfalfa,a,base,2037,915.43,25.8334,490.3721,1.6517,563.2555,4.1536,0.1414,0.4574,0.0205,4.295,0.4779,0.0,4.07,15.14,,,,,
RCP 45,alfalfa,a,base,2038,1113.81,20.6655,486.7043,0.7799,663.0486,2.3185000000000002,0.0526,0.2574,0.0217,2.3711,0.2791,0.0,5.27,16.29,,,,,
RCP 45,alfalfa,a,base,2039,985.47,29.3366,430.4368,1.3338999999999999,577.9361,4.2168,0.0762,0.4566,0.0253,4.293,0.4819,0.0,3.93,13.37,,,,,
RCP 45,alfalfa,a,base,2040,1298.04,75.217,558.6184,4.0127,679.5644,11.3565,0.2074,1.2389999999999999,0.0589,11.5639,1.2978999999999998,0.0,5.19,18.79,,,,,
