metric,parameter,S1,S1_conf,ST,ST_conf,S2,S2_conf,region,crop,bmp
YNkg/ha,pec,0.0231279399385534,0.0177796845115922,0.0475349391310568,0.0075770869391736,,,a,alfalfa,base
YNkg/ha,phu,-0.001472143750924,0.0094008196299802,0.0099023995671611,0.0027911302608326,,,a,alfalfa,base
YNkg/ha,delta_t,0.7949733394425869,0.0826839829029881,0.8677365817788429,0.0727803952584654,,,a,alfalfa,base
YNkg/ha,delta_p,0.0805888152894472,0.0288113676930252,0.1519694084581082,0.0245967243408034,,,a,alfalfa,base
YNkg/ha,pec x phu,,,,,0.004508095756507,0.0288690146250965,a,alfalfa,base
YNkg/ha,pec x delta_t,,,,,0.0223079450538449,0.0427834941168272,a,alfalfa,base
YNkg/ha,pec x delta_p,,,,,0.0061051939958946,0.0325007558835974,a,alfalfa,base
YNkg/ha,phu x delta_t,,,,,0.0088915299701759,0.0148881498584143,a,alfalfa,base
YNkg/ha,phu x delta_p,,,,,0.0079756088980315,0.0126503895276824,a,alfalfa,base
YNkg/ha,delta_t x delta_p,,,,,0.0763936945108872,0.1344775566715877,a,alfalfa,base
YPkg/ha,pec,0.0231624094970856,0.0161738756470866,0.0474672184979743,0.0076717891839669,,,a,alfalfa,base
YPkg/ha,phu,-0.0008486402517132,0.0090033068882975,0.0099508377712307,0.0024203027269164,,,a,alfalfa,base
YPkg/ha,delta_t,0.814896066610028,0.082247105543376,0.8834883894233988,0.0792079430809195,,,a,alfalfa,base
YPkg/ha,delta_p,0.0720768361141715,0.0321031165190306,0.1339709668203241,0.0218209694730116,,,a,alfalfa,base
YPkg/ha,pec x phu,,,,,0.0041846370347469,0.0288899433093069,a,alfalfa,base
YPkg/ha,pec x delta_t,,,,,0.0214624468161986,0.0397980634260864,a,alfalfa,base
YPkg/ha,pec x delta_p,,,,,0.005860105022855,0.0290855145264433,a,alfalfa,base
YPkg/ha,phu x delta_t,,,,,0.008615123627002,0.0121808084165006,a,alfalfa,base
YPkg/ha,phu x delta_p,,,,,0.006911311170388,0.011068646431193,a,alfalfa,base
YPkg/ha,delta_t x delta_p,,,,,0.0654507905567852,0.1158851081426569,a,alfalfa,base
QNkg/ha,pec,0.0538602369850585,0.0807617343579344,1.3476963418310746,2.417482388347938,,,a,alfalfa,base
QNkg/ha,phu,0.0194701623014368,0.0375202040856876,0.3870923298824681,0.3115667775443657,,,a,alfalfa,base
QNkg/ha,delta_t,0.5550917024052237,0.2553972335255119,0.9178319018136558,0.0893960305430232,,,a,alfalfa,base
QNkg/ha,delta_p,0.1117732263260579,0.0404676753809481,0.4146661900880795,0.2852876301540209,,,a,alfalfa,base
QNkg/ha,pec x phu,,,,,-0.0483908166965463,0.0816564286008981,a,alfalfa,base
QNkg/ha,pec x delta_t,,,,,-0.0540676552088813,0.0803525432861418,a,alfalfa,base
QNkg/ha,pec x delta_p,,,,,-0.0514715547692017,0.0806596692799906,a,alfalfa,base
