metric,parameter,S1,S1_conf,ST,ST_conf,S2,S2_conf,region,crop,bmp
YNkg/ha,delta_t,0.8333245580803136,0.0711759157923248,0.8835861616134209,0.0707466433873438,,,a,alfalfa,base
YNkg/ha,delta_p,0.0911859884265805,0.0321284123384103,0.163461567258287,0.0214855445071602,,,a,alfalfa,base
YNkg/ha,delta_t x delta_p,,,,,0.0662266290908872,0.1184195094043188,a,alfalfa,base
YPkg/ha,delta_t,0.8539582874300315,0.0770625042955694,0.9001930147265734,0.0761115507593254,,,a,alfalfa,base
YPkg/ha,delta_p,0.0830923157089336,0.0310083735464927,0.1436430505758821,0.0208325870022224,,,a,alfalfa,base
YPkg/ha,delta_t x delta_p,,,,,0.0556819788618389,0.1250711558189834,a,alfalfa,base
QNkg/ha,delta_t,0.7926144747058859,0.0917753199580883,0.8824127674118574,0.0555683729557308,,,a,alfalfa,base
QNkg/ha,delta_p,0.1012300722506747,0.037763844097988,0.2219804382934656,0.0767121792737998,,,a,alfalfa,base
QNkg/ha,delta_t x delta_p,,,,,0.0887137606852831,0.1358487050573738,a,alfalfa,base
QPkg/ha,delta_t,0.9091416308106725,0.0885040954362265,0.9513739961140144,0.0823804721332941,,,a,alfalfa,base
QPkg/ha,delta_p,0.0372418946129176,0.0239785722340259,0.0864092949544773,0.0147061997285344,,,a,alfalfa,base
QPkg/ha,delta_t x delta_p,,,,,0.0473717225545213,0.1227115174933093,a,alfalfa,base
MUSLEt/ha,delta_t,0.8425075697835207,0.0714427902510266,0.8960156917382776,0.0704147042418955,,,a,alfalfa,base
MUSLEt/ha,delta_p,0.0805593546347822,0.0344904281441845,0.1545082070001489,0.0228866296048144,,,a,alfalfa,base
MUSLEt/ha,delta_t x delta_p,,,,,0.0677166790367706,0.1170599937720384,a,alfalfa,base
Qmm,delta_t,0.6323207359407902,0.0667832316333602,0.6440388564990075,0.046700900195651,,,a,alfalfa,base
Qmm,delta_p,0.356456962491494,0.0482722070437596,0.3730682544246879,0.0341732057045821,,,a,alfalfa,base
Qmm,delta_t x delta_p,,,,,0.0143236517029508,0.1000826132205058,a,alfalfa,base
WYLDmm,delta_t,0.8431889621455193,0.0621443925589342,0.8564990159712982,0.0575752468973426,,,a,alfalfa,base
WYLDmm,delta_p,0.1271856000295612,0.0309451735625565,0.1517926136326017,0.0151900001314423,,,a,alfalfa,base
WYLDmm,delta_t x delta_p,,,,,0.020079693609824,0.06992116959759,a,alfalfa,base
YNkg/ha,delta_t,0.8408327494953968,0.0738659168308819,0.9000967315961795,0.0790432931377467,,,a,alfalfa,gb
YNkg/ha,delta_p,0.0778711977662096,0.0363880753260503,0.1580612153718845,0.02686679332039,,,a,alfalfa,gb
YNkg/ha,delta_t x delta_p,,,,,0.0676614143869621,0.1289553478024143,a,alfalfa,gb
YPkg/ha,delta_t,0.8590817827355883,0.0846077581303295,0.914067826412602,0.0865237963142646,,,a,alfalfa,gb
YPkg/ha,delta_p,0.0713786091786327,0.0337013034164776,0.1397641625580228,0.0198890361134817,,,a,alfalfa,gb
YPkg/ha,delta_t x delta_p,,,,,0.0570875786092944,0.1032007189669887,a,alfalfa,gb
QNkg/ha,delta_t,0.8060454010934327,0.0987670397637437,1.0519480125989629,0.3100078168694004,,,a,alfalfa,gb
QNkg/ha,delta_p,0.1059638592670378,0.0404893754976731,0.1646894556881224,0.0230352581425882,,,a,alfalfa,gb
QNkg/ha,delta_t x delta_p,,,,,0.0547814629400517,0.1118146909625728,a,alfalfa,gb
QPkg/ha,delta_t,0.9104449809843924,0.0671356301930283,0.951772295141214,0.0677002984898274,,,a,alfalfa,gb
QPkg/ha,delta_p,0.0360966211503443,0.0265373157828623,0.0846801062869325,0.0126742546722722,,,a,alfalfa,gb
QPkg/ha,delta_t x delta_p,,,,,0.0475103472567889,0.1125419793908643,a,alfalfa,gb
MUSLEt/ha,delta_t,0.8455591655802643,0.0792872931482448,0.9075822497031444,0.0787171872076095,,,a,alfalfa,gb
