year,month,day,hour,radiation(lagley/hour)
1985,1,1,1,0
1985,1,1,2,0
1985,1,1,3,0
1985,1,1,4,0
1985,1,1,5,0
1985,1,1,6,0
1985,1,1,7,0
1985,1,1,8,4.13
1985,1,1,9,13.61
1985,1,1,10,24.12
1985,1,1,11,31.915
1985,1,1,12,35.62
1985,1,1,13,34.895
1985,1,1,14,30.29
1985,1,1,15,22.97
1985,1,1,16,8.81
1985,1,1,17,0.08
1985,1,1,18,0
1985,1,1,19,0
1985,1,1,20,0
1985,1,1,21,0
1985,1,1,22,0
1985,1,1,23,0
1985,1,1,24,0
1985,1,2,1,0
1985,1,2,2,0
1985,1,2,3,0
1985,1,2,4,0
1985,1,2,5,0
1985,1,2,6,0
1985,1,2,7,0
1985,1,2,8,1.37
1985,1,2,9,4.54
1985,1,2,10,8.565
1985,1,2,11,11.345
1985,1,2,12,12.67
1985,1,2,13,19.325
1985,1,2,14,16.8
1985,1,2,15,12.765
1985,1,2,16,7.275
1985,1,2,17,0.165
1985,1,2,18,0
1985,1,2,19,0
1985,1,2,20,0
1985,1,2,21,0
1985,1,2,22,0
1985,1,2,23,0
1985,1,2,24,0
1985,1,3,1,0
1985,1,3,2,0
1985,1,3,3,0
1985,1,3,4,0
1985,1,3,5,0
1985,1,3,6,0
1985,1,3,7,0
1985,1,3,8,2.07
1985,1,3,9,6.88
1985,1,3,10,9.39
1985,1,3,11,12.44
1985,1,3,12,13.905
1985,1,3,13,12.135
1985,1,3,14,10.56
1985,1,3,15,8.045
1985,1,3,16,4.065
1985,1,3,17,0.14
1985,1,3,18,0
1985,1,3,19,0
1985,1,3,20,0
1985,1,3,21,0
1985,1,3,22,0
1985,1,3,23,0
1985,1,3,24,0
1985,1,4,1,0
1985,1,4,2,0
1985,1,4,3,0
1985,1,4,4,0
1985,1,4,5,0
1985,1,4,6,0
1985,1,4,7,0
1985,1,4,8,2.4
1985,1,4,9,7.975
1985,1,4,10,7.715
1985,1,4,11,10.23
1985,1,4,12,11.435
1985,1,4,13,18.46
1985,1,4,14,16.09
1985,1,4,15,12.28
1985,1,4,16,6.135
1985,1,4,17,0.3
1985,1,4,18,0
1985,1,4,19,0
1985,1,4,20,0
1985,1,4,21,0
1985,1,4,22,0
1985,1,4,23,0
1985,1,4,24,0
1985,1,5,1,0
1985,1,5,2,0
1985,1,5,3,0
1985,1,5,4,0
1985,1,5,5,0
1985,1,5,6,0
1985,1,5,7,0
1985,1,5,8,4.835
1985,1,5,9,16.12
1985,1,5,10,23.39
1985,1,5,11,31.025
1985,1,5,12,34.715
1985,1,5,13,31.855
1985,1,5,14,27.79
1985,1,5,15,21.27
1985,1,5,16,11.33
1985,1,5,17,0.7
1985,1,5,18,0
1985,1,5,19,0
1985,1,5,20,0
1985,1,5,21,0
1985,1,5,22,0
1985,1,5,23,0
1985,1,5,24,0
1985,1,6,1,0
1985,1,6,2,0
1985,1,6,3,0
1985,1,6,4,0
1985,1,6,5,0
1985,1,6,6,0
1985,1,6,7,0
1985,1,6,8,4.835
1985,1,6,9,16.115
1985,1,6,10,28.435
1985,1,6,11,37.725
1985,1,6,12,42.24
1985,1,6,13,41.285
1985,1,6,14,36.055
1985,1,6,15,27.655
1985,1,6,16,11.45
1985,1,6,17,0.86
1985,1,6,18,0
1985,1,6,19,0
1985,1,6,20,0
1985,1,6,21,0
1985,1,6,22,0
1985,1,6,23,0
1985,1,6,24,0
1985,1,7,1,0
1985,1,7,2,0
1985,1,7,3,0
1985,1,7,4,0
1985,1,7,5,0
1985,1,7,6,0
1985,1,7,7,0
1985,1,7,8,4.105
1985,1,7,9,13.665
1985,1,7,10,7.81
1985,1,7,11,10.365
1985,1,7,12,11.61
1985,1,7,13,17.93
1985,1,7,14,15.685
1985,1,7,15,12.06
1985,1,7,16,5.875
1985,1,7,17,0.52
1985,1,7,18,0
1985,1,7,19,0
1985,1,7,20,0
1985,1,7,21,0
1985,1,7,22,0
1985,1,7,23,0
1985,1,7,24,0
1985,1,8,1,0
1985,1,8,2,0
1985,1,8,3,0
1985,1,8,4,0
1985,1,8,5,0
1985,1,8,6,0
1985,1,8,7,0
1985,1,8,8,4.22
1985,1,8,9,14.04
1985,1,8,10,21.48
1985,1,8,11,28.525
1985,1,8,12,31.965
1985,1,8,13,27.695
1985,1,8,14,24.25
1985,1,8,15,18.69
1985,1,8,16,8.845
1985,1,8,17,0.9
1985,1,8,18,0
1985,1,8,19,0
