year,month,day,hour,windspeed(mph)
1985,1,1,1,13.56
1985,1,1,2,13.09
1985,1,1,3,12.67
1985,1,1,4,12.245
1985,1,1,5,12.38
1985,1,1,6,12.515
1985,1,1,7,12.66
1985,1,1,8,14.315
1985,1,1,9,16.115
1985,1,1,10,18.02
1985,1,1,11,18.555
1985,1,1,12,19.08
1985,1,1,13,19.63
1985,1,1,14,19.6
1985,1,1,15,19.56
1985,1,1,16,19.525
1985,1,1,17,18.53
1985,1,1,18,17.66
1985,1,1,19,16.945
1985,1,1,20,16.47
1985,1,1,21,16.045
1985,1,1,22,15.69
1985,1,1,23,12.18
1985,1,1,24,8.73
1985,1,2,1,5.445
1985,1,2,2,4.665
1985,1,2,3,3.965
1985,1,2,4,3.385
1985,1,2,5,3.12
1985,1,2,6,3.5
1985,1,2,7,4.355
1985,1,2,8,5.23
1985,1,2,9,6.445
1985,1,2,10,7.855
1985,1,2,11,6.13
1985,1,2,12,4.545
1985,1,2,13,3.25
1985,1,2,14,2.735
1985,1,2,15,2.395
1985,1,2,16,2.22
1985,1,2,17,1.87
1985,1,2,18,1.595
1985,1,2,19,1.43
1985,1,2,20,1.995
1985,1,2,21,3.95
1985,1,2,22,6.075
1985,1,2,23,6.905
1985,1,2,24,7.995
1985,1,3,1,9.22
1985,1,3,2,10.245
1985,1,3,3,11.295
1985,1,3,4,12.37
1985,1,3,5,12.97
1985,1,3,6,13.645
1985,1,3,7,14.33
1985,1,3,8,13.565
1985,1,3,9,12.82
1985,1,3,10,12.07
1985,1,3,11,12.72
1985,1,3,12,13.375
1985,1,3,13,14.03
1985,1,3,14,14.115
1985,1,3,15,14.2
1985,1,3,16,14.29
1985,1,3,17,13.375
1985,1,3,18,12.47
1985,1,3,19,11.555
1985,1,3,20,11.545
1985,1,3,21,11.54
1985,1,3,22,11.535
1985,1,3,23,11.485
1985,1,3,24,11.435
1985,1,4,1,11.395
1985,1,4,2,10.095
1985,1,4,3,8.78
1985,1,4,4,7.46
1985,1,4,5,5.67
1985,1,4,6,3.965
1985,1,4,7,2.49
1985,1,4,8,1.66
1985,1,4,9,0.94
1985,1,4,10,0.915
1985,1,4,11,1.05
1985,1,4,12,1.89
1985,1,4,13,2.875
1985,1,4,14,1.78
1985,1,4,15,1.345
1985,1,4,16,2.25
1985,1,4,17,3.84
1985,1,4,18,5.495
1985,1,4,19,7.165
1985,1,4,20,8.63
1985,1,4,21,10.13
1985,1,4,22,11.63
1985,1,4,23,13.21
1985,1,4,24,15.725
1985,1,5,1,18.835
1985,1,5,2,18.71
1985,1,5,3,18.63
1985,1,5,4,18.615
1985,1,5,5,19.085
1985,1,5,6,19.55
1985,1,5,7,20.01
1985,1,5,8,20.36
1985,1,5,9,20.735
1985,1,5,10,21.15
