seg,year,month,day,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
N51001,1985,   1,   1,   0.0208,   0.0009,   0.0003,   0.0135,   0.0018,   0.0002,   0.0002,   0.0001
N51001,1985,   1,   2,   0.3936,   0.0178,   0.0049,   0.0135,   0.0018,   0.0036,   0.0033,   0.0011
N51001,1985,   1,   3,   0.8992,   0.0407,   0.0112,   0.0135,   0.0018,   0.0082,   0.0075,   0.0025
N51001,1985,   1,   4,   0.4936,   0.0224,   0.0061,   0.0135,   0.0018,   0.0045,   0.0041,   0.0014
N51001,1985,   1,   5,   0.1255,   0.0057,   0.0016,   0.0135,   0.0018,   0.0011,   0.0011,   0.0004
N51001,1985,   1,   6,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,   7,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,   8,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,   9,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  10,   0.1654,   0.0075,   0.0021,   0.0135,   0.0018,   0.0015,   0.0014,   0.0005
N51001,1985,   1,  11,   0.0677,   0.0031,   0.0008,   0.0135,   0.0018,   0.0006,   0.0006,   0.0002
N51001,1985,   1,  12,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  13,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  14,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  15,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  16,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  17,   0.3371,   0.0153,   0.0042,   0.0135,   0.0018,   0.0031,   0.0028,   0.0010
N51001,1985,   1,  18,   0.0193,   0.0009,   0.0002,   0.0135,   0.0018,   0.0002,   0.0002,   0.0001
N51001,1985,   1,  19,   0.0674,   0.0031,   0.0008,   0.0135,   0.0018,   0.0006,   0.0006,   0.0002
N51001,1985,   1,  20,   0.0843,   0.0038,   0.0010,   0.0135,   0.0018,   0.0008,   0.0007,   0.0002
N51001,1985,   1,  21,   0.0415,   0.0019,   0.0005,   0.0135,   0.0018,   0.0004,   0.0003,   0.0001
N51001,1985,   1,  22,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  23,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  24,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  25,   0.0262,   0.0012,   0.0003,   0.0135,   0.0018,   0.0002,   0.0002,   0.0001
N51001,1985,   1,  26,   0.0279,   0.0013,   0.0003,   0.0135,   0.0018,   0.0003,   0.0002,   0.0001
N51001,1985,   1,  27,   0.0000,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  28,   0.0067,   0.0003,   0.0001,   0.0135,   0.0018,   0.0001,   0.0001,   0.0000
N51001,1985,   1,  29,   0.0009,   0.0000,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  30,   0.0013,   0.0001,   0.0000,   0.0135,   0.0018,   0.0000,   0.0000,   0.0000
N51001,1985,   1,  31,   0.5799,   0.0263,   0.0072,   0.0135,   0.0018,   0.0053,   0.0049,   0.0016
N51001,1985,   2,   1,   0.7925,   0.0419,   0.0127,   0.0135,   0.0029,   0.0072,   0.0066,   0.0022
N51001,1985,   2,   2,   0.2556,   0.0135,   0.0041,   0.0135,   0.0029,   0.0023,   0.0021,   0.0007
N51001,1985,   2,   3,   0.0002,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,   4,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,   5,   0.0853,   0.0045,   0.0014,   0.0135,   0.0029,   0.0008,   0.0007,   0.0002
N51001,1985,   2,   6,   0.0721,   0.0038,   0.0012,   0.0135,   0.0029,   0.0007,   0.0006,   0.0002
N51001,1985,   2,   7,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,   8,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,   9,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  10,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  11,   0.0238,   0.0013,   0.0004,   0.0135,   0.0029,   0.0002,   0.0002,   0.0001
N51001,1985,   2,  12,   1.2376,   0.0654,   0.0198,   0.0135,   0.0029,   0.0112,   0.0104,   0.0035
N51001,1985,   2,  13,   0.0729,   0.0039,   0.0012,   0.0135,   0.0029,   0.0007,   0.0006,   0.0002
N51001,1985,   2,  14,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  15,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  16,   0.0023,   0.0001,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  17,   0.0009,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  18,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  19,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  20,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  21,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  22,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  23,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  24,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  25,   0.0408,   0.0022,   0.0007,   0.0135,   0.0029,   0.0004,   0.0003,   0.0001
N51001,1985,   2,  26,   0.4237,   0.0224,   0.0068,   0.0135,   0.0029,   0.0038,   0.0036,   0.0012
N51001,1985,   2,  27,   0.0000,   0.0000,   0.0000,   0.0135,   0.0029,   0.0000,   0.0000,   0.0000
N51001,1985,   2,  28,   0.0544,   0.0029,   0.0009,   0.0135,   0.0029,   0.0005,   0.0005,   0.0002
N51001,1985,   3,   1,   0.3503,   0.0176,   0.0083,   0.0141,   0.0025,   0.0032,   0.0029,   0.0010
N51001,1985,   3,   2,   0.0564,   0.0028,   0.0013,   0.0141,   0.0025,   0.0005,   0.0005,   0.0002
