year,month,day,hour,windspeed(mph)
1985,1,1,1,6.824
1985,1,1,2,7.7584
1985,1,1,3,8.9024
1985,1,1,4,10.1952
1985,1,1,5,11.43
1985,1,1,6,12.8624
1985,1,1,7,14.4232
1985,1,1,8,15.7504
1985,1,1,9,17.3816
1985,1,1,10,19.2324
1985,1,1,11,19.968
1985,1,1,12,20.7592
1985,1,1,13,21.602
1985,1,1,14,21.522
1985,1,1,15,21.4792
1985,1,1,16,21.4764
1985,1,1,17,20.6084
1985,1,1,18,19.8792
1985,1,1,19,19.298
1985,1,1,20,18.1972
1985,1,1,21,17.406
1985,1,1,22,16.9868
1985,1,1,23,14.5304
1985,1,1,24,13.1312
1985,1,2,1,13.1388
1985,1,2,2,12.2068
1985,1,2,3,11.8704
1985,1,2,4,12.154
1985,1,2,5,10.4272
1985,1,2,6,8.714
1985,1,2,7,7.0328
1985,1,2,8,8.3048
1985,1,2,9,9.6048
1985,1,2,10,10.922
1985,1,2,11,10.8632
1985,1,2,12,10.8412
1985,1,2,13,10.85
1985,1,2,14,11.01
1985,1,2,15,11.1772
1985,1,2,16,11.348
1985,1,2,17,11.192
1985,1,2,18,11.0416
1985,1,2,19,10.9024
1985,1,2,20,11.2836
1985,1,2,21,11.69
1985,1,2,22,12.1176
1985,1,2,23,12.6124
1985,1,2,24,13.1112
1985,1,3,1,13.6264
1985,1,3,2,12.5092
1985,1,3,3,11.444
1985,1,3,4,10.4484
1985,1,3,5,10.3436
1985,1,3,6,10.2532
1985,1,3,7,10.176
1985,1,3,8,10.2276
1985,1,3,9,10.288
1985,1,3,10,10.3588
1985,1,3,11,8.9296
1985,1,3,12,7.7512
1985,1,3,13,6.954
1985,1,3,14,6.4252
1985,1,3,15,5.9596
1985,1,3,16,5.5668
1985,1,3,17,4.1952
1985,1,3,18,2.9464
1985,1,3,19,2.0384
1985,1,3,20,2.1204
1985,1,3,21,2.3332
1985,1,3,22,2.634
1985,1,3,23,1.5172
1985,1,3,24,1.0004
1985,1,4,1,1.8904
1985,1,4,2,1.8652
1985,1,4,3,2.0608
1985,1,4,4,2.662
1985,1,4,5,3.442
1985,1,4,6,4.7316
1985,1,4,7,6.1448
1985,1,4,8,5.8452
1985,1,4,9,5.5764
1985,1,4,10,5.34
1985,1,4,11,6.3536
1985,1,4,12,7.3728
1985,1,4,13,8.3952
1985,1,4,14,7.7472
1985,1,4,15,7.1148
1985,1,4,16,6.5092
1985,1,4,17,5.9836
1985,1,4,18,5.6196
1985,1,4,19,5.4496
1985,1,4,20,5.1812
1985,1,4,21,5.0984
1985,1,4,22,5.1896
1985,1,4,23,6.7408
1985,1,4,24,9.96
1985,1,5,1,13.684
1985,1,5,2,14.04
1985,1,5,3,14.4316
1985,1,5,4,14.8648
1985,1,5,5,15.8884
1985,1,5,6,16.9208
1985,1,5,7,17.9528
1985,1,5,8,19.6316
1985,1,5,9,21.3184
1985,1,5,10,23.0016
1985,1,5,11,23.0664
1985,1,5,12,23.1512
1985,1,5,13,23.2544
1985,1,5,14,21.9332
1985,1,5,15,20.7456
1985,1,5,16,19.7172
1985,1,5,17,18.2564
1985,1,5,18,16.8944
1985,1,5,19,15.6436
1985,1,5,20,14.486
1985,1,5,21,13.342
1985,1,5,22,12.214
1985,1,5,23,12.0008
1985,1,5,24,11.8124
1985,1,6,1,11.6532
1985,1,6,2,11.4212
1985,1,6,3,11.2296
1985,1,6,4,11.0916
1985,1,6,5,10.1552
1985,1,6,6,9.268
1985,1,6,7,8.4488
1985,1,6,8,7.6868
1985,1,6,9,7.046
1985,1,6,10,6.5532
1985,1,6,11,6.6452
1985,1,6,12,6.9604
1985,1,6,13,7.4684
1985,1,6,14,6.622
1985,1,6,15,5.832
1985,1,6,16,5.124
1985,1,6,17,5.1388
1985,1,6,18,5.3212
1985,1,6,19,5.6616
1985,1,6,20,5.738
1985,1,6,21,6.036
1985,1,6,22,6.5336
1985,1,6,23,5.8072
1985,1,6,24,5.31
1985,1,7,1,5.1108
1985,1,7,2,5.1368
1985,1,7,3,5.1708
1985,1,7,4,5.2184
1985,1,7,5,5.5644
1985,1,7,6,5.9992
1985,1,7,7,6.504
1985,1,7,8,6.2572
1985,1,7,9,6.256
1985,1,7,10,6.4924
1985,1,7,11,6.4468
1985,1,7,12,6.5604
1985,1,7,13,6.8332
1985,1,7,14,5.446
1985,1,7,15,4.1888
1985,1,7,16,3.2856
1985,1,7,17,3.5308
1985,1,7,18,3.9372
1985,1,7,19,4.4368
1985,1,7,20,5.6044
1985,1,7,21,6.7968
1985,1,7,22,7.9952
1985,1,7,23,9.1436
